id,name,aka,country
168,Advanced Energy Industries,NULL,US
169,Advanced Solar Photonics,NULL,US
170,AEG Power Solutions,NULL,Netherlands
171,Altenergy Power Systems,"Altenergy Power System,Altenergy Power System Inc.",China
172,Apparent,NULL,US
173,Beacon Power,NULL,US
174,Ballard Power Systems,NULL,Canada
175,Chiconypower,NULL,Taiwan
176,Chilicon,NULL,US
177,Chint Power Systems America,Chint Solar (Zhejiang),US
178,Delta Electronics,NULL,Taiwan
179,Delta Energy Systems,NULL,Germany
180,Diehl AKO Stiftung,NULL,Germany
181,Direct Grid Technologies,NULL,US
182,Eaton,NULL,US
184,Exeltech,NULL,US
185,Growatt New Energy Technology,NULL,China
186,HiQ Solar,NULL,US
187,Huawei,NULL,China
188,Ideal Power,NULL,US
189,Kaco,NULL,Germany
190,KLNE,NULL,China
191,Ningbo Ginlong Technologies,"Ningbo Ginlong Technologies Co.,Ltd.",China
192,OutBack Power Systems,NULL,US
193,Advanced Energy,PV Powered,US
194,Pika Energy,NULL,US
195,Power-One,NULL,Switzerland
196,Renovo Power Systems,NULL,US
197,Samil Power,NULL,South Korea
198,SatCon Technology,NULL,US
199,Sparq Systems,NULL,Canada
200,SolarBridge Technologies,NULL,US
201,SolarEdge Technologies,SolarEdge Technologies Ltd.,Israel
202,Solarmax,NULL,US
203,Sustainable Energy Technologies,NULL,US
204,Sungrow Power Supply,NULL,China
205,Tabuchi Electric,NULL,Japan
