installation_date,system_size,total_installed_price
4/8/2014,1.25,5630
5/9/2014,1.25,5630
4/18/2014,1.25,5630
9/18/2014,1.25,5630
4/24/2014,1.25,5630
9/8/2014,1.25,5630
6/20/2014,1.25,5630
12/17/2013,1.25,5630
7/28/2014,1.25,5630
12/9/2014,1.25,5630
11/4/2014,1.25,5630
9/18/2014,1.25,5630
11/4/2014,1.25,5630
7/21/2014,1.25,5630
12/4/2014,1.25,5630
4/8/2014,1.25,5630
10/15/2014,1.25,5630
12/17/2014,1.25,5630
2/28/2014,1.25,5630
2/12/2015,1.25,5630
9/26/2014,1.25,5630
5/21/2014,1.25,5630
2/27/2015,1.25,5630
12/4/2014,1.25,5630
1/22/2014,1.25,5630
5/30/2014,1.25,5630
5/30/2014,1.25,5630
1/12/2015,1.25,5630
1/9/2014,1.25,7037.5
4/16/2013,1.25,10000
9/12/2014,1.25,10960
8/20/2010,1.25,23833
4/11/2012,1.255,6523.12
9/16/2017,1.26,2500
7/27/2012,1.26,4183
4/26/2010,1.26,7560
5/28/2008,1.26,11690.58
7/2/2009,1.278,10322.4
9/9/1999,1.29,4219.85
5/12/2010,1.29,7740
10/12/2009,1.29,7852
1/28/2011,1.29,7901.3
3/11/2008,1.292,10400
4/10/2013,1.3,4380
7/17/2013,1.3,6223
10/14/2015,1.3,8856
9/16/2008,1.302,19160
7/6/2016,1.308,3544.38
3/27/2011,1.32,7940
8/11/2011,1.32,9255
1/20/2010,1.32,9940
4/14/2010,1.32,10901
9/3/2010,1.32,11220
7/22/2011,1.32,11220
5/3/2012,1.32,16150
6/22/2006,1.32,28442.13
4/16/2008,1.33,7996
3/11/2008,1.33,8507
12/5/2007,1.33,12091
9/9/2004,1.336,9994.69
6/8/2005,1.336,10019.74
9/28/2006,1.336,12253.81
8/2/2017,1.34,7169
5/10/2017,1.34,7169
2/24/2017,1.34,7169
4/20/2017,1.34,7169
11/1/2017,1.34,7169
5/24/2017,1.34,7169
2/14/2017,1.34,7169
7/3/2017,1.34,7169
5/10/2017,1.34,7169
8/2/2017,1.34,7169
3/7/2017,1.34,7169
4/11/2017,1.34,7169
5/22/2017,1.34,7169
7/21/2017,1.34,7169
6/12/2017,1.34,7169
5/22/2017,1.34,7169
4/20/2017,1.34,7169
3/6/2017,1.34,7169
4/20/2017,1.34,7169
5/15/2017,1.34,7169
3/6/2017,1.34,7169
5/23/2017,1.34,7169
1/4/2018,1.34,7169
1/20/2017,1.34,7169
1/20/2017,1.34,7169
2/22/2017,1.34,7169
3/6/2017,1.34,7169
7/21/2017,1.34,7169
5/10/2017,1.34,7169
6/13/2017,1.34,7169
5/10/2017,1.34,7169
4/20/2017,1.34,7169
5/11/2017,1.34,7169
2/9/2017,1.34,7169
2/22/2017,1.34,7169
6/7/2017,1.34,7169
5/11/2017,1.34,7169
4/13/2017,1.34,7169
3/7/2017,1.34,7169
5/10/2017,1.34,7169
4/11/2017,1.34,7169
2/22/2017,1.34,7169
5/10/2017,1.34,7169
3/9/2017,1.34,7169
6/13/2017,1.34,7169
2/22/2017,1.34,7169
5/10/2017,1.34,7169
2/22/2017,1.34,7169
5/10/2017,1.34,7169
1/20/2017,1.34,7169
5/10/2017,1.34,7169
5/10/2017,1.34,7169
2/24/2017,1.34,7169
8/14/2017,1.34,7169
3/7/2017,1.34,7169
7/20/2017,1.34,7169
11/1/2017,1.34,7169
7/21/2017,1.34,7169
2/22/2017,1.34,7169
4/18/2017,1.34,7169
2/24/2017,1.34,7169
6/19/2017,1.34,7169
1/4/2018,1.34,7169
1/20/2017,1.34,7169
2/9/2017,1.34,7169
2/9/2017,1.34,7169
11/1/2017,1.34,7169
8/14/2017,1.34,7169
5/10/2017,1.34,7169
6/19/2017,1.34,7169
5/10/2017,1.34,7169
2/22/2017,1.34,7169
7/20/2017,1.34,7169
11/12/2009,1.34,8000
10/24/2012,1.34,9040
6/7/2011,1.344,8736
12/12/2006,1.344,9594.87
2/16/2016,1.35,5250
10/28/2010,1.35,5625
2/4/2011,1.35,5700
9/10/2010,1.35,6780
9/28/2009,1.35,7500
3/12/2010,1.35,7608
5/23/2011,1.35,7817.09
11/8/2011,1.35,8100
11/25/2009,1.35,9500
8/12/2010,1.35,9805
10/28/2009,1.35,11500
9/17/2010,1.35,11990
9/24/2009,1.35,12000
5/13/2011,1.35,14000
6/16/2011,1.35,14000
5/26/2010,1.36,10288
6/8/2006,1.36,10610.5
12/27/2007,1.36,12136
3/30/2006,1.36,12358
2/1/2005,1.36,12667.37
6/3/2009,1.36,14325
5/3/2010,1.36,26281
10/3/2008,1.36,65374
2/27/2015,1.375,4812
2/27/2015,1.375,4812
2/27/2015,1.375,4812
8/5/2015,1.375,5250
3/14/2016,1.375,5250
2/16/2016,1.375,5250
10/6/2015,1.375,5250
8/18/2015,1.375,5250
12/18/2015,1.375,5250
9/11/2015,1.375,5250
7/27/2015,1.375,5250
4/5/2016,1.375,5250
1/12/2016,1.375,5250
3/4/2016,1.375,5250
11/22/2015,1.375,5250
3/8/2016,1.375,5250
4/22/2016,1.375,5250
2/2/2016,1.375,5250
8/11/2015,1.375,5250
9/16/2015,1.375,5250
8/11/2015,1.375,5250
5/4/2016,1.375,5250
3/28/2016,1.375,5250
3/4/2016,1.375,5250
4/6/2016,1.375,5250
9/16/2015,1.375,5250
1/25/2016,1.375,5250
5/4/2016,1.375,5250
9/8/2015,1.375,5250
11/3/2015,1.375,5250
3/4/2016,1.375,5250
3/21/2016,1.375,5250
6/3/2016,1.375,5250
11/3/2015,1.375,5250
10/8/2015,1.375,5250
5/19/2015,1.375,5250
11/3/2015,1.375,5250
12/17/2015,1.375,5250
8/24/2015,1.375,5250
11/3/2015,1.375,5250
9/25/2015,1.375,5250
3/25/2016,1.375,5250
3/23/2016,1.375,5250
4/26/2016,1.375,5250
12/18/2015,1.375,5250
8/31/2015,1.375,5250
12/11/2015,1.375,5250
10/26/2015,1.375,5250
10/1/2015,1.375,5250
12/17/2015,1.375,5250
10/1/2015,1.375,5250
12/4/2015,1.375,5250
9/3/2015,1.375,5250
11/22/2015,1.375,5250
