meta/uid,meta/ll/0,meta/ll/1,meta/sids/0,meta/sids/1,meta/sids/2,meta/sids/3,meta/state,meta/elev,meta/name,data/0,meta/sids/4,meta/sids/5,meta/sids/6,meta/sids/7,meta/sids/8
65804,-112.7333,34.1667,USR0000ASTA 6,,,,AZ,3600,STANTON ARIZONA,90,,,,,
65805,-109.3169,33.5406,USR0000ASTH 6,,,,AZ,7020,STRAY HORSE ARIZONA,66,,,,,
65809,-112.1417,34.1953,USR0000ASUN 6,,,,AZ,2960,SUNSET POINT ARIZONA,87.5,,,,,
65816,-109.3683,33.2667,USR0000ATRA 6,,,,AZ,6279,TRAIL CABIN ARIZONA,75.5,,,,,
65817,-113.7942,35.7825,USR0000ATRU 6,,,,AZ,5350,TRUXTON CANYON ARIZONA,85.5,,,,,
65819,-112.12,35.99,USR0000ATUS 6,,,,AZ,6700,TUSAYAN ARIZONA,71.5,,,,,
65820,-113.7319,36.5819,USR0000ATWE 6,,,,AZ,5200,TWEEDS POINT ARIZONA,86,,,,,
65822,-114.3747,35.2247,USR0000AUNI 6,,,,AZ,3520,UNION PASS ARIZONA,90,,,,,
65823,-111.8492,34.5539,USR0000AVER 6,,,,AZ,3100,VERDE ARIZONA,88.5,,,,,
65825,-112.23,36.7,USR0000AWAR 6,,,,AZ,8010,WARM SPRINGS CANYON ARIZONA,73,,,,,
65828,-113.5417,36.1542,USR0000AYEL 6,,,,AZ,6160,YELLOW JOHN MTN ARIZONA,73.5,,,,,
67291,-109.5,33.98,USS0009S01S 6,,,,AZ,9125,BALDY,63,,,,,
67292,-109.46,33.92,USS0009S02S 6,,,,AZ,9200,MAVERICK FORK,61.5,,,,,
67293,-109.22,33.69,USS0009S06S 6,,,,AZ,7990,BEAVER HEAD,64.5,,,,,
67294,-109.15,33.8,USS0009S07S 6,,,,AZ,8400,CORONADO TRAIL,61,,,,,
67295,-109.31,33.65,USS0009S11S 6,,,,AZ,9020,HANNAGAN MEADOWS,61.5,,,,,
67296,-109.48,33.76,USS0009S18S 6,,,,AZ,7850,WILDCAT,65.5,,,,,
67353,-110.75,34.31,USS0010R04S 6,,,,AZ,7640,HEBER,M,,,,,
67354,-110.92,33.81,USS0010S01S 6,,,,AZ,6900,WORKMAN CREEK,68.5,,,,,
67429,-111.65,35.34,USS0011P08S 6,,,,AZ,9730,SNOWSLIDE CANYON,60.5,,,,,
67430,-111.84,35.07,USS0011P13S 6,,,,AZ,7200,FRY,69.5,,,,,
67431,-111.52,34.94,USS0011R03S 6,,,,AZ,7500,MORMON MOUNTAIN,68.5,,,,,
67432,-111.41,34.75,USS0011R05S 6,,,,AZ,7630,HAPPY JACK,69.5,,,,,
67433,-111.41,34.46,USS0011R06S 6,,,,AZ,7300,BAKER BUTTE,68.5,,,,,
67435,-111.01,34.37,USS0011R10S 6,,,,AZ,7930,PROMONTORY,68.5,,,,,
67468,-112.15,35.14,USS0012P02S 6,,,,AZ,7180,WHITE HORSE LAKE,70,,,,,
83761,-110.69799,32.3859,025737 2,USC00025737 6,WCSA3 7,,AZ,7027,MT. LEMMON WILLOW CANYON,71.5,,,,,
83787,,,IGMthr 9,,,,AZ,,Kingman Area,87.5,,,,,
85614,-110.05,31.73333,2026 17,,,,AZ,4500,Walnut Gulch #1,82,,,,,
