Location,Population,Year
Bullhead,39970,2016
Sahuarita,25707,2015
St. Johns,3483,2015
San Luis,31520,2015
Scottsdale,236839,2015
Sedona,10388,2015
Show Low,10860,2015
Sierra Vista,43355,2015
Snowflake,5666,2015
Somerton,15048,2015
South Tucson,5715,2015
Springerville,1954,2015
Star Valley,2277,2015
Superior,2943,2015
Surprise,128422,2015
Taylor,4151,2015
Tempe,175826,2015
Thatcher,4992,2015
Tolleson,7008,2015
Tombstone,1312,2015
Tucson,531641,2015
Tusayan,567,2015
Wellton,2936,2015
Wickenburg,6806,2015
Willcox,3552,2015
Williams,3122,2015
Winkelman,346,2015
Winslow,9600,2015
Young,6613,2015
Apache Junction,38074,2015
Yuma,94139,2015
Avondale,80684,2015
Benson,4888,2015
Bisbee,5208,2015
Buckeye,62138,2015
Bullhead,39445,2015
Camp Verde,11155,2015
Carefree,3610,2015
Casa Grande,51460,2015
Cave Creek,5341,2015
Chandler,260828,2015
Chino Valley,11137,2015
Clarkdale,4240,2015
Clifton,3685,2015
Colorado,4832,2015
Coolidge,12297,2015
Cottonwood,11818,2015
Dewey-Humboldt,3988,2015
Douglas,16592,2015
Duncan,799,2015
Eagar,4869,2015
El Mirage,33935,2015
Eloy,17059,2015
Flagstaff,70320,2015
Florence,31110,2015
Fountain Hills,23899,2015
Fredonia,1322,2015
Gila Bend,2025,2015
Gilbert,247542,2015
Glendale,240126,2015
Globe,7396,2015
Goodyear,79003,2015
Guadalupe,6177,2015
Hayden,650,2015
Holbrook,5019,2015
Huachuca,1755,2015
Jerome,456,2015
Kearny,2038,2015
Kingman,28912,2015
Lake Havasu,53553,2015
Litchfield Park,5533,2015
Mammoth,1487,2015
Marana,41315,2015
Maricopa,48602,2015
Mesa,471825,2015
Miami,1783,2015
Nogales,20252,2015
Oro Valley,43565,2015
Page,7490,2015
Paradise Valley,13922,2015
Parker,3046,2015
Patagonia,890,2015
Payson,15345,2015
Peoria,171237,2015
Phoenix,1563025,2015
Pima,2524,2015
Pinetop-Lakeside,4345,2015
