city,state_id,state_name,county_fips,county_name,lat,lng,population,density,source,military,incorporated,timezone,ranking,zips,id,avg_temp
Burnside,AZ,Arizona,4001,Apache,35.7534,-109.6248,629,26,polygon,FALSE,FALSE,America/Denver,3,86505,1840027977,81.5
Bylas,AZ,Arizona,4009,Graham,33.1292,-110.1162,1834,169,polygon,FALSE,FALSE,America/Phoenix,3,85530,1840022957,89.5
Cactus Flats,AZ,Arizona,4009,Graham,32.7642,-109.7205,1423,89,polygon,FALSE,TRUE,America/Phoenix,3,85546 85548,1840001823,87.5
Cactus Forest,AZ,Arizona,4021,Pinal,32.9578,-111.317,872,123,polygon,FALSE,FALSE,America/Phoenix,3,85132,1840022982,93.5
Cameron,AZ,Arizona,4005,Coconino,35.8537,-111.4269,1178,24,polygon,FALSE,FALSE,America/Denver,3,86020,1840017662,88.5
Camp Verde,AZ,Arizona,4025,Yavapai,34.5699,-111.8573,11201,100,polygon,FALSE,TRUE,America/Phoenix,3,86322,1840022752,88.5
Campo Bonito,AZ,Arizona,4021,Pinal,32.5629,-110.6984,58,5,polygon,FALSE,FALSE,America/Phoenix,3,85623,1840027939,83
Cane Beds,AZ,Arizona,4015,Mohave,36.9341,-112.9118,395,18,polygon,FALSE,FALSE,America/Phoenix,3,86022,1840023173,83.5
Canyon Day,AZ,Arizona,4007,Gila,33.7826,-110.0328,1293,99,polygon,FALSE,FALSE,America/Phoenix,3,85941,1840017945,70
Carefree,AZ,Arizona,4013,Maricopa,33.8234,-111.9161,3783,165,polygon,FALSE,TRUE,America/Phoenix,3,85377,1840022914,92
Carrizo,AZ,Arizona,4007,Gila,33.9867,-110.3314,191,8,polygon,FALSE,FALSE,America/Phoenix,3,85941,1840022860,74
Casa Blanca,AZ,Arizona,4021,Pinal,33.1154,-111.908,1189,29,polygon,FALSE,FALSE,America/Phoenix,3,85121,1840025877,96
Casa Grande,AZ,Arizona,4021,Pinal,32.9068,-111.7624,58632,193,polygon,FALSE,TRUE,America/Phoenix,3,85194 85193 85122 85130,1840019364,96
Casas Adobes,AZ,Arizona,4019,Pima,32.3423,-111.0114,68919,998,polygon,FALSE,FALSE,America/Phoenix,3,85704 85741 85742 85752,1840018108,89.5
Catalina,AZ,Arizona,4019,Pima,32.4849,-110.8996,7751,212,polygon,FALSE,FALSE,America/Phoenix,3,85739,1840018109,87.5
Catalina Foothills,AZ,Arizona,4019,Pima,32.3041,-110.8835,50202,463,polygon,FALSE,FALSE,America/Phoenix,3,85718 85750 85715 85728,1840018110,93
Cave Creek,AZ,Arizona,4013,Maricopa,33.8513,-111.9801,5622,57,polygon,FALSE,TRUE,America/Phoenix,3,85087 85331 85327,1840022915,92
Cedar Creek,AZ,Arizona,4007,Gila,33.903,-110.1929,605,13,polygon,FALSE,FALSE,America/Phoenix,3,85941,1840022861,74
Centennial Park,AZ,Arizona,4015,Mohave,36.9538,-112.9813,1550,275,polygon,FALSE,TRUE,America/Phoenix,3,86021 86022,1840075272,83.5
Central,AZ,Arizona,4009,Graham,32.8692,-109.7908,369,85,polygon,FALSE,FALSE,America/Phoenix,3,85531 85543,1840022958,87.5
Central Heights-Midland City,AZ,Arizona,4007,Gila,33.4,-110.8153,2752,555,polygon,FALSE,TRUE,America/Phoenix,3,85501,1840073906,84
Chandler,AZ,Arizona,4013,Maricopa,33.2827,-111.8517,253458,1505,polygon,FALSE,TRUE,America/Phoenix,2,85248 85249 85226 85224 85225 85286 85246,1840019309,96
Charco,AZ,Arizona,4019,Pima,32.2474,-112.6001,12,4,polygon,FALSE,FALSE,America/Phoenix,3,85321,1840023066,95
Chiawuli Tak,AZ,Arizona,4019,Pima,31.941,-111.7765,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023067,92
Chilchinbito,AZ,Arizona,4017,Navajo,36.5027,-110.0512,887,14,polygon,FALSE,FALSE,America/Denver,3,86033,1840017655,77.5
Chinle,AZ,Arizona,4001,Apache,36.1504,-109.5793,5698,137,polygon,FALSE,FALSE,America/Denver,3,86503,1840017672,81.5
Chino Valley,AZ,Arizona,4025,Yavapai,34.7594,-112.4107,11667,71,polygon,FALSE,TRUE,America/Phoenix,3,86323,1840022753,80.5
Chloride,AZ,Arizona,4015,Mohave,35.4097,-114.1972,297,76,polygon,FALSE,FALSE,America/Phoenix,3,86431,1840023175,90
Christopher Creek,AZ,Arizona,4007,Gila,34.3206,-111.0072,86,10,polygon,FALSE,FALSE,America/Phoenix,3,85541,1840022862,69
Chuichu,AZ,Arizona,4021,Pinal,32.7403,-111.7821,414,23,polygon,FALSE,FALSE,America/Phoenix,3,85193,1840018028,92.5
Cibecue,AZ,Arizona,4017,Navajo,34.0332,-110.4854,2218,143,polygon,FALSE,FALSE,America/Phoenix,3,85911,1840017654,74
Cibola,AZ,Arizona,4012,La Paz,33.3733,-114.6792,414,8,polygon,FALSE,FALSE,America/Phoenix,3,85334 85328,1840017956,100
Cienega Springs,AZ,Arizona,4012,La Paz,34.2008,-114.2089,1926,209,polygon,FALSE,FALSE,America/Phoenix,3,85344,1840022877,100.5
Citrus Park,AZ,Arizona,4013,Maricopa,33.5304,-112.444,4924,327,polygon,FALSE,FALSE,America/Phoenix,3,85355 85340,1840022921,98.5
Clacks Canyon,AZ,Arizona,4015,Mohave,35.2203,-114.0723,322,37,polygon,FALSE,TRUE,America/Phoenix,3,86413 86409 86402,1840075276,87.5
Clarkdale,AZ,Arizona,4025,Yavapai,34.7501,-112.0549,4330,160,polygon,FALSE,TRUE,America/Phoenix,3,86326 86324,1840022754,88
Clay Springs,AZ,Arizona,4017,Navajo,34.3592,-110.3043,392,53,polygon,FALSE,FALSE,America/Phoenix,3,85923,1840022574,74
Claypool,AZ,Arizona,4007,Gila,33.406,-110.8421,1428,469,polygon,FALSE,FALSE,America/Phoenix,3,85539,1840017944,84
Clifton,AZ,Arizona,4011,Greenlee,33.0249,-109.2883,5010,97,polygon,FALSE,TRUE,America/Phoenix,3,85533,1840022949,77.5
Colorado City,AZ,Arizona,4015,Mohave,36.9774,-112.983,8259,180,polygon,FALSE,TRUE,America/Phoenix,3,86021,1840023170,83.5
Comobabi,AZ,Arizona,4019,Pima,32.0539,-111.8029,43,14,polygon,FALSE,FALSE,America/Phoenix,3,85634,1840023068,92
Concho,AZ,Arizona,4001,Apache,34.4744,-109.6102,146,126,polygon,FALSE,FALSE,America/Phoenix,3,85924,1840022618,80
Congress,AZ,Arizona,4025,Yavapai,34.1526,-112.8642,1454,14,polygon,FALSE,FALSE,America/Phoenix,3,85332,1840017840,90
Coolidge,AZ,Arizona,4021,Pinal,32.9395,-111.5261,11725,67,polygon,FALSE,TRUE,America/Phoenix,3,85194 85128,1840019367,93.5
Copper Hill,AZ,Arizona,4007,Gila,33.4379,-110.7516,0,0,polygon,FALSE,FALSE,America/Phoenix,3,85501,1840027973,84
Cordes Lakes,AZ,Arizona,4025,Yavapai,34.3103,-112.1073,2328,83,polygon,FALSE,FALSE,America/Phoenix,3,86333,1840017841,83
Cornfields,AZ,Arizona,4001,Apache,35.6513,-109.6759,373,372,polygon,FALSE,FALSE,America/Denver,3,86505,1840022619,78
Cornville,AZ,Arizona,4025,Yavapai,34.7389,-111.9086,3167,92,polygon,FALSE,FALSE,America/Phoenix,3,86325,1840017842,88
