city,lat,lng,station,avg temp F August 2018,zips
Ak Chin,32.2873,-112.0091,SELLES ,92,85634
Valencia West,32.1354,-111.1124,TUCSON,93,85757
Willow Canyon,32.3881,-110.7009,MT. LEMMON WILLOW CANYON,71.5,85619
Ko Vaya,32.0815,-111.8959,SELLES ,92,85634
Dewey-Humboldt,34.5174,-112.2498,PRESCOTT,79,86329 86327
Mescal,31.9674,-110.4367,KARTCHNER CAVERNS,77.5,85602
Del Muerto,36.187,-109.4348,CANYON DE CHELLY,81.5,86503
Colorado City,36.9774,-112.98299999999999,HURRICANE ,83.5,86021
Morenci,33.0531,-109.3307,GUTHRIE ,77.5,85540
Fort Apache,33.7907,-109.9873,MOUNTAIN LION ,70,85926
Nazlini,35.9156,-109.4726,CANYON DE CHELLY,81.5,86540
Bylas,33.1292,-110.1162,BLACK HILLS,89.5,85530
Picture Rocks,32.3274,-111.2558,TUCSON,93,85653 85743
Wittmann,33.775,-112.5251,WITTMANN,95.5,85361
Wheatfields,33.4805,-110.8366,GLOBE ,84,85501
Sun City,33.6165,-112.2819,YOUNGTOWN,97,85351 85373 85372
Tucson,32.1545,-110.8782,TUCSON INTERNATIONAL AIRPORT,93,85705 85707 85706 85756 85723 85726 85724 85701 85708 85711 85748 85745 85747 85716 85714 85715 85712 85713 85710 85719 85730 85702 85703 85709 85717 85720 85721 85722 85725 85731 85732 85738 85751 85754 85775
Quartzsite,33.6675,-114.21700000000001,QUARTZSITE,100,85346 85359
Eloy,32.747,-111.5991,ROBSON RANCH,96,85131 85194 85193 85123
Hotevilla-Bacavi,35.9225,-110.6569,HOPI ,78,86030
Second Mesa,35.8222,-110.4884,HOPI ,78,86043
Cactus Flats,32.7642,-109.7205,SAFFORD AGRICULTURAL CENTER,87.5,85546 85548
St. Michaels,35.6606,-109.0962,WINDOW ROCK AIRPORT,72.5,86511
Phoenix,33.5722,-112.0891,DEER VALLEY,95.5,85008 85009 85006 85007 85004 85083 85086 85087 85085 85383 85033 85304 85306 85308 85020 85021 85022 85023 85024 85027 85028 85029 85353 85019 85018 85013 85012 85015 85014 85017 85016 85254 85003 85044 85045 85042 85043 85040 85041 85048 85054 85037 85035 85034 85032 85031 85307 85310 85051 85050 85053 85001 85002 85005 85010 85011 85026 85030 85036 85038 85046 85060 85061 85062 85063 85064 85065 85066 85067 85068 85069 85070 85071 85072 85073 85074 85075 85076 85078 85079 85080 85082
Cane Beds,36.9341,-112.9118,HURRICANE ,83.5,86022
Kykotsmovi Village,35.8576,-110.6338,HOPI ,78,86039 86030
Cornville,34.7389,-111.9086,TUZIGOOT,88,86325
Doney Park,35.2687,-111.5053,WALNUT CANYON N.M.,79.5,86004
Deer Creek,34.0644,-111.3505,PAYSON ,82,85541
Catalina,32.4849,-110.8996,CATALINA STATE PARK,87.5,85739
Goodyear,33.2614,-112.3622,LITCHFIELD PARK,98.5,85139 85338 85326 85340 85395
Youngtown,33.5846,-112.3047,YOUNGTOWN,97,85363
Fort Mohave,35.0004,-114.5748,BULLHEAD CITY,100,86426 86427
Payson,34.2434,-111.3195,PAYSON ,82,85541 85547
Wahak Hotrontk,32.1748,-112.3663,ORGAN PIPE CACTUS NM,94,85634
Shongopovi,35.8195,-110.5331,HOPI ,78,86043
Pine,34.3788,-111.4574,NATURAL BRIDGE,77,85544
Indian Wells,35.4089,-110.1061,HOPI ,78,86031
Benson,31.9157,-110.3256,BENSON,83,85602 85630
Franklin,32.677,-109.072,DUNCAN,83.5,85534
Yarnell,34.2283,-112.7631,STANTON ,90,85362
Blackwater,33.0396,-111.5798,CASA GRANDE NATL MONUMENT,93.5,85128
Vicksburg,33.7293,-113.8254,QUARTZSITE,100,85325 85348
Low Mountain,35.9481,-110.0981,HOPI ,78,86520 86510 86034
Wikieup,34.6931,-113.5995,WIKIEUP,92,85360
Moccasin,36.9099,-112.7546,GUNSIGHT,84.5,86022
Valle,35.6245,-112.135,TUSAYAN ,71.5,86046
Pirtleville,31.3613,-109.5661,DOUGLAS,81,85626 85607
Whitecone,35.6037,-110.0791,HOPI ,78,86031 86034
Green Valley,31.8437,-111.0172,GREEN VALLEY,88.5,85622 85614
Beyerville,31.3921,-110.8748,NOGALES INTL AP,84,85621
Tubac,31.6111,-111.0585,TUMACACORI NM,79.5,85640 85646
San Manuel,32.6091,-110.6415,SAN MANUEL,88,85631
Fort Defiance,35.7469,-109.0685,WINDOW ROCK AIRPORT,72.5,86504
Cutter,33.3584,-110.6593,GLOBE ,84,85550
Tonto Village,34.3198,-111.1393,PROMONTORY ,69,85541
Casa Grande,32.9068,-111.7624,ROBSON RANCH,96,85194 85193 85122 85130
Star Valley,34.2611,-111.2197,PAYSON ,82,85541
Casa Blanca,33.1154,-111.90799999999999,TEMPE,96,85121
Cornfields,35.6513,-109.6759,HOPI ,78,86505
Avenue B and C,32.7192,-114.6597,YUMA QUARTERMASTER DEPOT,97.5,85364
El Mirage,33.5905,-112.3271,YOUNGTOWN,97,85335
Kohatk,32.5782,-112.0033, CITY,92.5,85634
Summerhaven,32.4416,-110.7766,MT. LEMMON FIRE DEPT,67,85619
Dennehotso,36.8209,-109.87899999999999,BETATAKIN,77.5,86535
Hard Rock,36.0309,-110.5048,HOPI ,78,86039
