city,lat,lng,station,avg temp F August 2018,zips
Why,32.259,-112.7307,AJO,95,85321
Littlefield,36.8663,-113.9358,BEAVER DAM,96.5,86432
Carrizo,33.9867,-110.3314,LIMESTONE CANYON ,74,85941
Fountain Hills,33.6073,-111.7398,SCOTTSDALE MUNICIPAL AP,98.5,85268 85269
Parker,34.0286,-114.2224,PARKER,100.5,85344 85346
Hondah,34.086,-109.9149,PINETOP 2E,70.5,85935 85930
Brenda,33.6721,-113.9379,QUARTZSITE,100,85348
Seba Dalkai,35.4816,-110.4562,HOPI ,78,86047
Rough Rock,36.4106,-109.8691,CANYON DE CHELLY,81.5,86503
Tonopah,33.488,-112.9308,PAINTED ROCK DAM,99,85354
Pinion Pines,35.1467,-113.9059,KINGMAN AIRPORT,87.5,86401
Show Low,34.2671,-110.0384,SHOW LOW AIRPORT,70,85901 85902
Winslow West,34.9923,-110.7069,WINSLOW MUNICIPAL AP,84.5,86047
Clacks Canyon,35.2203,-114.0723,KINGMAN AIRPORT,87.5,86413 86409 86402
Tonalea,36.3218,-110.9667,BETATAKIN,77.5,86044
Glendale,33.5797,-112.2258,YOUNGTOWN,97,85301 85303 85302 85304 85306 85308 85305 85307 85309 85310 85311 85312 85318
McConnico,35.1636,-114.0898,KINGMAN AIRPORT,87.5,86413 86401
Apache Junction,33.3985,-111.5351,APACHE JUNCTION,93,85119 85120 85117 85178
Strawberry,34.4018,-111.5002,NATURAL BRIDGE,77,85544
Martinez Lake,32.9843,-114.4722,YUMA PROVING GROUND,98.5,85365
Grand Canyon West,35.9998,-113.8103,TRUXTON CANYON ,85.5,86434
Sweet Water Village,33.1274,-111.8424,CASA GRANDE NATL MONUMENT,93.5,85121
Superior,33.2851,-111.1109,APACHE JUNCTION,93,85173
Red Rock,32.561,-111.3745,PICACHO 8 SE,93,85131 85145 85658
Sierra Vista,31.563000000000002,-110.3153,SIERRA VISTA,76.5,85650 85635 85613 85670 85671
Rainbow City,33.8731,-109.9763,PINETOP 2E,70.5,85941
Sierra Vista Southeast,31.4525,-110.21600000000001,CARR ,80,85650 85615 85636
Willow Valley,34.9296,-114.6159,HAVASU ,98.5,86440
Cactus Forest,32.9578,-111.31700000000001,CASA GRANDE NATL MONUMENT,93.5,85132
East Fork,33.8081,-109.9228,MOUNTAIN LION ,70,85941
Lupton,35.3548,-109.0528,SANDERS,76,86508
Gila Bend,32.9662,-112.7155,PAINTED ROCK DAM,99,85337
Wellton Hills,32.6232,-114.1453,TACNA,99.5,85356
Citrus Park,33.5304,-112.444,LITCHFIELD PARK,98.5,85355 85340
Casas Adobes,32.3423,-111.0114,TOHONO CHUL,89.5,85704 85741 85742 85752
Turkey Creek,33.8011,-109.9461,MOUNTAIN LION ,70,85941
Mountainaire,35.092,-111.6493,FLAGSTAFF,70.5,86001
Drexel Heights,32.1457,-111.0479,TUCSON INTERNATIONAL AIRPORT,93,85757 85746
Central Heights-Midland City,33.4,-110.8153,GLOBE ,84,85501
Maish Vaya,32.1703,-112.1342,SELLES ,92,85634
Toyei,35.7043,-109.93700000000001,HOPI ,78,86505
Sacaton,33.0793,-111.7683,CASA GRANDE NATL MONUMENT,93.5,85147
Miami,33.3951,-110.8722,GLOBE ,84,85539
Sun Valley,34.9835,-110.0374,PETRIFIED FOREST NP,78,86029
Rancho Mesa Verde,32.5944,-114.6551,YUMA MCAS - COOP,98.5,85350
Page,36.9425,-111.5071,PAGE MUNICIPAL AP,90,86040 86036
Pimaco Two,31.9666,-110.4663,KARTCHNER CAVERNS,77.5,85602
Shonto,36.5893,-110.6607,BETATAKIN,77.5,86054
Geronimo Estates,34.3695,-111.3617,NATURAL BRIDGE,77,85541
Clifton,33.0249,-109.2883,GUTHRIE ,77.5,85533
Flowing Wells,32.2937,-111.01100000000001,TOHONO CHUL,89.5,85705
Maricopa Colony,33.3626,-112.2267,LITCHFIELD PARK,98.5,85339
Eagar,34.1058,-109.2956,SPRINGERVILLE,72,85938 85925
Mesa del Caballo,34.286,-111.2952,PAYSON ,82,85541
Round Valley,34.1877,-111.3018,PAYSON ,82,85541
Flagstaff,35.1872,-111.6195,FLAGSTAFF,70.5,86001 86011 86004 86002 86005
Dragoon,32.0263,-110.0365,PEARCE - SUNSITES,81.5,85609
Copper Hill,33.4379,-110.7516,GLOBE ,84,85501
